,Actor,Director,Rating,Title,URL,Year
141,Ron Howard,"Russell Crowe, Ed Harris",8.2,A Beautiful Mind,https://www.imdb.com/title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_142,1994
142,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",8.2,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_143,1994
143,Pete Docter,"Amy Poehler, Bill Hader",8.2,Inside Out,https://www.imdb.com/title/tt2096673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_144,1994
144,Martin Scorsese,"Robert De Niro, Sharon Stone",8.2,Casino,https://www.imdb.com/title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145,1994
145,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",8.2,Room,https://www.imdb.com/title/tt3170832/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146,1994
146,Frank Capra,"James Stewart, Jean Arthur",8.1,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147,1994
147,David Lynch,"Anthony Hopkins, John Hurt",8.1,The Elephant Man,https://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148,1994
148,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",8.1,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149,1994
149,James McTeigue,"Hugo Weaving, Natalie Portman",8.1,V for Vendetta,https://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150,1994
150,Ridley Scott,"Harrison Ford, Rutger Hauer",8.1,Blade Runner,https://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151,1994
151,Gavin O'Connor,"Tom Hardy, Nick Nolte",8.1,Warrior,https://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152,1994
152,Ingmar Bergman,"Victor Sjöström, Bibi Andersson",8.1,Smultronstället,https://www.imdb.com/title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153,1994
153,Clyde Bruckman,"Buster Keaton, Marion Mack",8.1,The General,https://www.imdb.com/title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154,1994
154,Alfred Hitchcock,"Ray Milland, Grace Kelly",8.1,Dial M for Murder,https://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155,1994
155,Danny Boyle,"Ewan McGregor, Ewen Bremner",8.1,Trainspotting,https://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156,1994
156,Buster Keaton,"Buster Keaton, Kathryn McGuire",8.1,Sherlock Jr.,https://www.imdb.com/title/tt0015324/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157,1994
157,Victor Fleming,"Clark Gable, Vivien Leigh",8.1,Gone with the Wind,https://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158,1994
158,Ethan Coen,"Tommy Lee Jones, Javier Bardem",8.1,No Country for Old Men,https://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159,1994
159,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",8.1,The Sixth Sense,https://www.imdb.com/title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160,1994
160,Clint Eastwood,"Clint Eastwood, Bee Vang",8.1,Gran Torino,https://www.imdb.com/title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161,1994
161,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",8.1,There Will Be Blood,https://www.imdb.com/title/tt0469494/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162,1994
162,Joel Coen,"William H. Macy, Frances McDormand",8.1,Fargo,https://www.imdb.com/title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163,1994
163,Michael Cimino,"Robert De Niro, Christopher Walken",8.1,The Deer Hunter,https://www.imdb.com/title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164,1994
164,John Carpenter,"Kurt Russell, Wilford Brimley",8.1,The Thing,https://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165,1994
165,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",8.1,Finding Nemo,https://www.imdb.com/title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_166,1994
166,Joel Coen,"Jeff Bridges, John Goodman",8.1,The Big Lebowski,https://www.imdb.com/title/tt0118715/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_167,1994
167,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",8.1,Idi i smotri,https://www.imdb.com/title/tt0091251/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_168,1994
168,Quentin Tarantino,"Uma Thurman, David Carradine",8.1,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_169,1994
169,Stuart Rosenberg,"Paul Newman, George Kennedy",8.1,Cool Hand Luke,https://www.imdb.com/title/tt0061512/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_170,1994
170,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",8.1,Rebecca,https://www.imdb.com/title/tt0032976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_171,1994
171,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",8.1,Shutter Island,https://www.imdb.com/title/tt1130884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_172,1994
172,F.W. Murnau,"George O'Brien, Janet Gaynor",8.1,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_173,1994
173,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama",8.1,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_174,1994
174,Mel Gibson,"Andrew Garfield, Sam Worthington",8.1,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_175,1994
175,Adam Elliot,"Toni Collette, Philip Seymour Hoffman",8.1,Mary and Max,https://www.imdb.com/title/tt0978762/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_176,1994
176,Dean DeBlois,"Jay Baruchel, Gerard Butler",8.1,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_177,1994
177,David Fincher,"Ben Affleck, Rosamund Pike",8.1,Gone Girl,https://www.imdb.com/title/tt2267998/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_178,1994
178,Yavuz Turgul,"Sener Sen, Ugur Yücel",8.1,Eskiya,https://www.imdb.com/title/tt0116231/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_179,1994
179,Damián Szifron,"Darío Grandinetti, María Marull",8.1,Relatos salvajes,https://www.imdb.com/title/tt3011894/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_180,1994
180,Sean Penn,"Emile Hirsch, Vince Vaughn",8.1,Into the Wild,https://www.imdb.com/title/tt0758758/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_181,1994
181,Terry Jones,"Graham Chapman, John Cleese",8.1,Life of Brian,https://www.imdb.com/title/tt0079470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_182,1994
182,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov",8.1,Andrei Rublev,https://www.imdb.com/title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_183,1994
183,Frank Capra,"Clark Gable, Claudette Colbert",8.1,It Happened One Night,https://www.imdb.com/title/tt0025316/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_184,1994
184,Oliver Stone,"Charlie Sheen, Tom Berenger",8.1,Platoon,https://www.imdb.com/title/tt0091763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_185,1994
185,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite",8.1,In the Name of the Father,https://www.imdb.com/title/tt0107207/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_186,1994
186,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan",8.1,Rang De Basanti,https://www.imdb.com/title/tt0405508/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_187,1994
187,Steven Spielberg,"Sam Neill, Laura Dern",8.1,Jurassic Park,https://www.imdb.com/title/tt0107290/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_188,1994
188,Rob Reiner,"Wil Wheaton, River Phoenix",8.1,Stand by Me,https://www.imdb.com/title/tt0092005/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_189,1994
189,Wes Anderson,"Ralph Fiennes, F. Murray Abraham",8.1,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_190,1994
190,Sidney Lumet,"Faye Dunaway, William Holden",8.1,Network,https://www.imdb.com/title/tt0074958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_191,1994
191,Terry George,"Don Cheadle, Sophie Okonedo",8.1,Hotel Rwanda,https://www.imdb.com/title/tt0395169/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_192,1994
192,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",8.1,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_193,1994
193,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,Stalker,https://www.imdb.com/title/tt0079944/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_194,1994
194,William Wyler,"Charlton Heston, Jack Hawkins",8.1,Ben-Hur,https://www.imdb.com/title/tt0052618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_195,1994
195,Henri-Georges Clouzot,"Yves Montand, Charles Vanel",8.1,Le salaire de la peur,https://www.imdb.com/title/tt0046268/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_196,1994
196,Ingmar Bergman,"Bibi Andersson, Liv Ullmann",8.1,Persona,https://www.imdb.com/title/tt0060827/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_197,1994
197,Peter Weir,"Jim Carrey, Ed Harris",8.1,The Truman Show,https://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_198,1994
198,Ron Howard,"Daniel Brühl, Chris Hemsworth",8.1,Rush,https://www.imdb.com/title/tt1979320/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_199,1994
199,Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim",8.1,Salinui chueok,https://www.imdb.com/title/tt0353969/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_200,1994
200,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",8.1,12 Years a Slave,https://www.imdb.com/title/tt2024544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_201,1994
201,Clint Eastwood,"Hilary Swank, Clint Eastwood",8.1,Million Dollar Baby,https://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_202,1994
202,George Miller,"Tom Hardy, Charlize Theron",8.1,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_203,1994
203,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",8.1,Les quatre cents coups,https://www.imdb.com/title/tt0053198/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_204,1994
204,Tom McCarthy,"Mark Ruffalo, Michael Keaton",8.1,Spotlight,https://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205,1994
205,James Mangold,"Hugh Jackman, Patrick Stewart",8.1,Logan,https://www.imdb.com/title/tt3315342/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206,1994
206,Richard Linklater,"Ethan Hawke, Julie Delpy",8.1,Before Sunrise,https://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207,1994
207,Denis Villeneuve,"Harrison Ford, Ryan Gosling",8.1,Blade Runner 2049,https://www.imdb.com/title/tt1856101/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208,1994
208,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",8.1,Amores perros,https://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209,1994
209,Lasse Hallström,"Richard Gere, Joan Allen",8.1,Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210,1994
210,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",8.1,Prisoners,https://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211,1994
211,George Roy Hill,"Paul Newman, Robert Redford",8.1,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=ZV9KZMSV5PCEZS9Y8WK7&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212,1994
